,Control,Test
start,99.47964493419039,99.37460250158999
step_1,85.33210896847261,90.25863896544413
step_2,78.98377716559534,82.14437142251431
step_3,73.4863789409244,76.78609285562857
confirm,64.11386593204776,68.04112783548865
