age_bin,variation,completed
<35,Control,0.6547376982513217
<35,Test,0.7093279160318267
35-55,Control,0.6623889437314906
35-55,Test,0.6812473543107097
>55,Control,0.6044203034276082
>55,Test,0.6503234593122234
